assembly,pcaG,pcaH,PETase,tphA2,tphA3,tphB
2511231032,0,0,0,0,0,0
2511231035,0,0,0,0,0,0
2511231047,4,5,0,3,0,5
2511231049,0,0,0,0,0,2
2511231051,0,0,0,0,0,0
2511231054,0,0,0,0,0,0
2511231055,0,1,0,3,0,2
2511231057,0,0,0,0,0,0
2511231059,0,0,0,1,0,1
2511231062,0,0,0,0,0,4
2511231064,0,0,0,0,0,0
2511231065,0,0,0,0,0,0
2511231069,0,0,0,0,0,0
2511231071,0,0,0,0,0,0
2511231072,0,0,0,0,0,0
2511231076,0,0,0,0,0,0
2511231077,0,0,0,0,0,0
2511231079,0,0,0,0,0,1
2511231080,0,0,0,0,0,0
2511231081,0,0,0,0,0,0
2511231084,0,0,0,0,0,1
2511231086,0,0,0,0,0,0
2511231089,0,0,0,0,0,0
2511231091,0,0,0,0,0,1
2511231093,0,0,0,0,0,3
2511231094,0,0,0,0,0,0
2511231095,0,0,0,0,0,1
2511231099,0,0,0,0,0,1
2511231104,0,0,0,0,0,1
2511231106,0,0,0,0,0,0
2511231109,0,0,0,0,0,0
2511231110,0,0,0,0,0,0
2511231111,0,0,0,0,0,1
2511231114,1,1,0,1,0,0
2511231115,0,0,0,0,0,1
2511231116,0,0,0,0,0,0
2511231118,0,0,0,0,0,0
2511231119,0,0,0,0,0,1
2511231121,0,0,0,0,0,1
2511231122,0,0,0,0,0,0
2511231123,0,0,0,0,0,0
2511231124,2,2,0,0,0,4
2511231126,0,0,0,0,0,1
2511231127,0,0,0,0,0,0
2511231128,0,0,0,0,0,0
2511231129,0,0,0,0,0,0
2511231134,0,0,0,0,0,0
2511231136,2,2,0,1,0,2
2511231138,0,0,0,0,0,0
2511231139,0,0,0,0,0,1
2511231141,0,0,0,0,0,0
2511231144,9,8,0,22,2,21
2511231151,2,1,1,0,0,0
2511231153,0,0,0,0,0,0
2511231156,7,7,0,5,0,6
2511231157,0,0,0,0,0,0
2511231160,2,2,0,0,0,9
2511231161,0,0,0,1,0,2
2511231162,0,0,0,0,0,0
2511231164,0,0,0,0,0,7
2511231168,0,0,0,0,0,1
2511231169,0,0,0,0,0,0
2511231172,0,0,0,0,0,1
2511231173,0,0,0,0,0,0
2511231177,0,0,0,0,0,0
2511231178,0,0,0,0,0,0
2511231180,0,0,0,0,0,0
2511231185,0,0,0,0,0,0
2511231187,0,0,0,0,0,0
2511231188,2,2,0,0,0,1
2511231189,0,0,0,0,0,0
2511231190,0,0,0,0,0,0
2511231193,0,0,0,0,0,0
2511231195,0,0,0,2,0,4
2511231199,3,3,0,2,0,4
2511231202,0,0,0,0,0,0
2511231204,0,0,0,0,0,0
2511231207,0,0,0,0,0,0
2511231210,0,0,0,0,0,0
2511231211,0,0,0,0,0,0
2511231214,0,0,0,0,0,0
2511231216,0,0,0,0,0,0
2511231219,0,0,0,0,0,1
2511231221,4,3,0,5,2,1
2512047001,0,0,0,0,0,0
2512047002,0,0,0,0,0,0
2512047003,0,0,0,0,0,0
2512047004,0,0,0,0,0,0
2512047006,0,0,0,0,0,0
2512047014,0,0,0,0,0,0
2512047027,0,0,0,0,0,2
2512047030,3,4,0,13,1,11
2512047033,0,0,0,0,0,0
2512047034,0,0,0,0,0,0
2512047035,3,3,0,3,0,1
2512047036,0,0,0,0,0,0
2512047037,0,0,0,10,3,3
2512047038,0,0,0,0,0,0
2512047039,0,0,0,0,0,1
2512047040,0,0,0,0,0,0
2512047043,0,0,0,0,0,1
2512047048,0,0,0,0,0,0
2512047049,0,0,0,0,0,0
2512047050,0,1,0,0,0,0
2512047052,0,0,0,0,0,0
2512047053,0,0,0,0,0,0
2512047056,0,0,0,0,0,1
2512047058,2,2,0,2,0,1
2512047060,0,0,0,0,0,0
2512047061,0,0,0,0,0,0
2512047062,0,0,0,0,0,0
2512047066,0,0,0,0,0,0
2512047067,0,0,0,0,0,0
2512047069,0,0,0,0,0,0
2512047070,0,0,0,1,0,0
2512047071,0,0,0,0,0,0
2512047072,0,0,0,0,0,0
2512047073,0,0,0,0,0,0
2512047074,0,0,0,0,0,0
2512047075,0,0,0,0,0,0
2512047076,0,0,0,0,0,0
2512047078,0,1,0,0,0,0
2512047080,0,0,0,0,0,0
2512047085,0,0,0,0,0,0
2512047086,3,4,0,1,0,3
2512047087,2,2,0,5,0,0
2512047091,6,3,0,9,1,2
2512564004,0,0,0,0,0,0
2512564005,0,0,0,0,0,0
2512564006,0,0,0,5,1,1
2512564009,2,2,0,4,0,0
2512564010,4,4,1,3,0,1
2512564011,2,1,1,1,0,0
2512564012,0,0,0,0,0,0
2512564014,1,1,0,8,0,1
2512564015,0,0,0,1,0,1
2512564028,0,0,0,0,0,0
2512564031,0,0,0,0,0,3
2512564032,0,0,0,0,0,0
2512564033,3,2,0,3,0,0
2512564036,0,0,0,0,0,1
2512564039,0,0,0,0,0,0
2512564042,3,3,0,2,0,3
2512564055,0,0,0,0,0,0
2512564059,0,0,0,0,0,4
2512564067,0,0,0,0,0,3
2512564069,0,0,0,0,0,0
2512564071,0,0,0,0,0,0
2512564073,0,0,0,0,0,0
2512564074,0,0,0,0,0,1
2512564078,0,1,0,0,0,0
2512564082,2,2,0,1,0,7
2512564091,0,0,0,0,0,0
2512875005,0,0,0,0,0,0
2512875006,0,0,0,0,0,0
2512875007,0,0,0,0,0,0
2512875008,0,0,0,0,0,0
2512875009,0,0,0,0,0,0
2512875012,0,0,0,0,0,0
2512875013,0,0,0,0,0,0
2512875014,0,0,0,0,0,0
2512875015,0,0,0,0,0,0
2512875024,4,5,0,4,0,2
2512875027,0,0,0,0,0,0
2513020004,0,0,0,0,0,0
2513020008,0,0,0,0,0,0
2513020017,1,2,0,4,1,3
2513020029,0,0,0,0,0,0
2513020032,0,0,0,0,0,0
2513020036,3,2,0,4,0,0
2518645506,0,0,0,0,0,0
2518645501,0,0,0,0,0,0
2513020047,0,0,0,0,0,0
2513020048,0,0,0,1,0,0
2513020051,0,0,0,0,0,0
2513020052,0,1,0,0,0,2
2513237000,0,0,0,0,0,0
2513237001,1,1,0,0,0,0
2513237078,4,5,1,4,0,0
2513237084,3,7,0,3,0,4
2513237087,0,1,0,3,0,5
2513237088,4,6,0,1,0,2
2513237090,4,3,0,3,0,1
2513237092,7,7,0,1,0,7
2513237094,9,9,0,3,0,7
2513237095,7,6,0,3,0,10
2513237097,8,8,0,2,0,8
2513237098,7,7,0,8,2,4
2513237099,0,0,0,1,0,0
2513237101,6,5,0,3,0,2
2513237102,8,6,0,0,0,5
2513237104,9,10,0,2,0,8
2513237107,4,2,0,1,0,2
2513237109,1,1,0,0,0,0
2513237111,0,0,0,0,0,0
2513237113,0,0,0,0,0,7
2513237114,0,0,0,0,0,3
2513237116,0,0,0,1,0,3
2513237117,0,0,0,0,0,0
2513237119,0,0,0,2,0,1
2513237120,0,1,1,0,0,1
2513237121,2,2,0,0,0,0
2513237122,0,0,0,1,0,0
2513237123,0,0,0,0,0,0
2513237132,2,1,0,0,0,0
2513237134,0,0,0,0,0,0
2513237138,4,5,0,2,0,2
2513237139,7,7,0,2,0,7
2513237141,6,7,0,5,0,4
2513237146,4,3,0,2,0,4
2513237148,6,6,0,2,0,6
2513237153,8,7,0,4,0,10
2513237157,0,0,0,0,0,0
2513237159,2,4,0,5,0,3
2513237164,4,4,0,4,0,1
2513237167,0,0,0,0,0,0
2513237168,0,0,0,0,0,0
2547132112,0,0,0,0,0,0
2513237170,0,0,0,0,0,0
2513237171,0,0,0,0,0,1
2513237173,0,0,0,0,0,1
2513237174,0,0,0,0,0,0
2513237175,0,0,0,0,0,0
2513237176,2,2,2,0,0,0
2513237177,0,0,0,0,0,0
2513237178,0,0,0,0,0,0
2513237179,2,2,0,1,0,1
2513237180,0,0,0,0,0,0
2513237181,0,0,0,0,0,0
2513237182,0,0,0,1,0,1
2513237183,0,0,0,0,0,4
2513237186,0,0,0,0,0,0
2513237187,0,0,0,0,0,0
2513237188,0,0,0,0,0,1
2513237190,0,0,0,0,0,0
2513237191,0,0,0,2,0,1
2513237192,0,0,0,0,0,0
2513237193,0,0,0,0,0,2
2513237197,0,0,0,0,0,0
2513237199,0,0,0,0,0,0
2513237200,0,0,0,0,0,0
2513237204,0,0,0,0,0,0
2513237206,0,0,0,0,0,1
2513237210,0,0,0,0,0,1
2513237213,0,0,0,0,0,0
2513237215,0,0,0,0,0,0
2513237216,0,0,0,0,0,0
2513237217,0,0,0,0,0,0
2513237218,0,0,0,0,0,0
2513237219,0,0,0,2,0,6
2513237228,0,0,0,0,0,1
2513237236,0,0,0,0,0,0
2513237245,0,0,0,0,0,0
2513237257,0,0,0,0,0,4
2513237258,0,0,0,0,0,0
2513237259,0,0,0,0,0,0
2513237261,0,0,0,0,0,1
2513237263,0,0,0,0,0,0
2513237265,0,0,0,0,0,0
2513237266,0,0,0,2,0,6
2513237267,0,0,0,0,0,0
2513237268,3,4,0,0,0,2
2513237269,0,0,0,0,0,0
2513237270,0,0,0,0,0,0
2513237271,0,0,0,0,0,0
2513237274,0,0,0,0,0,0
2513237275,0,0,0,0,0,0
2513237276,2,2,0,2,0,7
2513237277,0,0,0,0,0,0
2513237278,0,0,0,0,0,0
2513237279,0,0,0,0,0,0
2513237280,0,0,0,0,0,0
2513237281,0,0,0,0,0,0
2513237283,0,0,0,0,0,0
2513237284,0,0,0,0,0,0
2513237285,0,0,0,0,0,1
2513237287,0,0,0,0,0,0
2513237288,0,0,0,0,0,0
2513237293,0,0,0,7,0,1
2513237295,0,0,0,0,0,0
