#SampleID,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,CollectionDate,Season,PrimerPair,DNAExtraction
AZ2015s101,AmaralZettler2015,31.29833,-157.24167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,23.7,35.25,ambient,27/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s102,AmaralZettler2015,31.29833,-157.24167,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,23.7,35.25,ambient,27/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s103,AmaralZettler2015,39.17833,-140.16,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,16.4,33.16,ambient,06/07/2012,summer,967F_1064R,gentra_puregene
AZ2015s104,AmaralZettler2015,39.17833,-140.16,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,16.4,33.16,ambient,06/07/2012,summer,967F_1064R,gentra_puregene
AZ2015s105,AmaralZettler2015,39.17833,-140.16,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,4.8,34.04,ambient,06/07/2012,summer,967F_1064R,gentra_puregene
AZ2015s106,AmaralZettler2015,32.102,-119.72,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,17.9,33.4,ambient,05/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s107,AmaralZettler2015,32.102,-119.72,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,17.9,33.4,ambient,05/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s108,AmaralZettler2015,31.81,-121.572,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,18.3,33.19,ambient,06/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s109,AmaralZettler2015,32.18833,-123.875,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,18.5,33.16,ambient,07/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s110,AmaralZettler2015,32.18833,-123.875,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,18.5,33.16,ambient,07/10/2012,autumn,967F_1064R,gentra_puregene
AZ2015s111,AmaralZettler2015,33.02333,-125.58167,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,18.9,33.17,ambient,08/10/2012,autumn,967F_1064R,gentra_puregene
